target_model,target_short,method,transfer_source_model,transfer_source_short,own_id_spearman,own_id_spearman_std,own_id_auroc_incorrect,own_id_auroc_incorrect_std,own_ood_spearman,own_ood_spearman_std,own_ood_auroc_incorrect,own_ood_auroc_incorrect_std,xfer_id_spearman,xfer_id_spearman_std,xfer_id_auroc_incorrect,xfer_id_auroc_incorrect_std,xfer_ood_spearman,xfer_ood_spearman_std,xfer_ood_auroc_incorrect,xfer_ood_auroc_incorrect_std
Mistral-7B-Instruct-v0.2,Mistral,proxy:z_q_resp,Llama-2-7b-chat,Llama-2,0.6200500786455112,0.015220410947279396,0.7218310879327828,0.014477246514348336,0.5468703215923072,0.021198114164654985,0.7208412871557129,0.006236832089457598,0.122210402653035,0.1744714703920133,0.5440770152634559,0.061548271873397974,0.08754431450862023,0.15954482413981225,0.537759067357513,0.05896380416511979
Mistral-7B-Instruct-v0.2,Mistral,proxy:q_only,Llama-2-7b-chat,Llama-2,0.48735146972508847,0.027219771974273107,0.67600647939631,0.016029217638887622,0.30864468381439497,0.031880522260875885,0.6155338151077177,0.020406850537791957,0.4749090351913547,0.011165707456335707,0.6601960500265585,0.009836067477573693,0.2748570489218256,0.03800356279762844,0.6067914280519953,0.02027449673772882
Mistral-7B-Instruct-v0.2,Mistral,proxy:q_resp_only,Llama-2-7b-chat,Llama-2,0.5723044283636172,0.020017879901614376,0.7327723124333294,0.014831665745878509,0.4856511887493887,0.010289281332169985,0.7030588128351968,0.016500086911779326,0.5304637462483662,0.011981819636447417,0.7047458505085624,0.017122143370791484,0.4048740559932932,0.051843985138096606,0.672497954731388,0.04085758787483612
Meta-Llama-3-8B-Instruct,Llama-3,True SE,,,1.0,,0.7426331101809427,,1.0,,0.7204208642496632,,,,,,,,,
Meta-Llama-3-8B-Instruct,Llama-3,SEP,,,0.5962280409147271,,0.7149107170366067,,0.4149359733261895,,0.6115099233878265,,,,,,,,,
Meta-Llama-3-8B-Instruct,Llama-3,Ridge,,,0.6352252640131721,,0.7163763925017277,,0.48271106579078754,,0.6398473788984738,,,,,,,,,
Meta-Llama-3-8B-Instruct,Llama-3,proxy:z,Llama-2-7b-chat,Llama-2,,,,,,,,,-0.021811345743410128,0.06313598105020161,0.4869634109305059,0.01666376635122,0.07324823183852067,0.04837567445927754,0.5210653314833806,0.02400386794936962
Meta-Llama-3-8B-Instruct,Llama-3,proxy:z_q,Llama-2-7b-chat,Llama-2,,,,,,,,,0.08335703016634796,0.034516212549182475,0.526281365675025,0.005990646023608772,0.004272536027918033,0.04590481000722804,0.4952313446341316,0.015316894249092433
Meta-Llama-3-8B-Instruct,Llama-3,proxy:z_q_resp,Llama-2-7b-chat,Llama-2,,,,,,,,,0.09694183847891277,0.16012537579028993,0.5331555156492767,0.06137432189349495,0.11518521207460446,0.17467726768371689,0.5328698397377893,0.0444383751267944
Meta-Llama-3-8B-Instruct,Llama-3,proxy:q_only,Llama-2-7b-chat,Llama-2,,,,,,,,,0.4837141874951496,0.029191600398354833,0.6590011399698061,0.009753484448802925,0.32606278104329967,0.048835906639831415,0.5930194446120126,0.01520321199705352
Meta-Llama-3-8B-Instruct,Llama-3,proxy:q_resp_only,Llama-2-7b-chat,Llama-2,,,,,,,,,0.5180317768262542,0.021259202493270762,0.6775927710949432,0.01682085710085377,0.39833159742416,0.05652875812298808,0.6104753574229355,0.02679764453466657
deepseek-llm-7b-chat,DeepSeek,True SE,,,1.0,,0.7954314781904033,,1.0,,0.7398726099238443,,,,,,,,,
deepseek-llm-7b-chat,DeepSeek,SEP,,,0.582731554090542,,0.7156287735035363,,0.2683467690409478,,0.5823831501521302,,,,,,,,,
deepseek-llm-7b-chat,DeepSeek,Ridge,,,0.6632427027076566,,0.7326865138744579,,0.37803149979617046,,0.6170918043298108,,,,,,,,,
deepseek-llm-7b-chat,DeepSeek,proxy:z,Llama-2-7b-chat,Llama-2,,,,,,,,,0.017678452294725984,0.03691083117853743,0.5047358096208543,0.02952397226159172,0.000447310049734298,0.06058796033864322,0.4974612718441317,0.030713739305369157
deepseek-llm-7b-chat,DeepSeek,proxy:z_q,Llama-2-7b-chat,Llama-2,,,,,,,,,0.0824454847052067,0.033397068622213824,0.5183731761817459,0.008454121896719994,0.061271447721675254,0.04483917269572565,0.5048022308385607,0.02279331230603847
deepseek-llm-7b-chat,DeepSeek,proxy:z_q_resp,Llama-2-7b-chat,Llama-2,,,,,,,,,0.14290503259374715,0.22443452156859559,0.5637639356363155,0.0693900118524907,0.09667628656249731,0.15871416588199283,0.521221396209752,0.04697443584409377
deepseek-llm-7b-chat,DeepSeek,proxy:q_only,Llama-2-7b-chat,Llama-2,,,,,,,,,0.5153398346944934,0.0237974167757028,0.6902740390980098,0.01040535179667786,0.29536605496733814,0.0449835866934741,0.5983135634742528,0.023495640665916667
deepseek-llm-7b-chat,DeepSeek,proxy:q_resp_only,Llama-2-7b-chat,Llama-2,,,,,,,,,0.6135648238574753,0.022906209118257543,0.7370548519482811,0.020533834614217036,0.37524862650036056,0.05344051507173926,0.6450377754523073,0.034467329567363696
